activity,n_executions,n_measured,cases_touched,repeats_per_case,coverage_of_cases,n_resources,median_queue_h,median_processing_h,median_suspended_h,n_anomalies,total_queue_days,total_processing_days,total_suspended_days,share_queue,share_processing,share_suspended,measurable,diagnosis,recommendation,because
W_Nabellen offertes,22976,22405,5011,4.59,0.383,52,0.03,0.03,0.0,0,18683.0,144.9,0.0,0.992,0.008,0.0,True,rework,fix the upstream cause of the repeats,"the step is repeated far more often than it is reached, so the same work is being redone"
W_Valideren aanvraag,7895,7889,3209,2.46,0.245,50,25.79,0.2,0.0,0,8998.4,114.7,0.0,0.987,0.013,0.0,True,rework,fix the upstream cause of the repeats,"the step is repeated far more often than it is reached, so the same work is being redone"
W_Completeren aanvraag,23967,23512,7367,3.25,0.563,52,1.76,0.04,0.0,0,1794.6,166.8,0.0,0.915,0.085,0.0,True,rework,fix the upstream cause of the repeats,"the step is repeated far more often than it is reached, so the same work is being redone"
W_Afhandelen leads,5898,5897,4755,1.24,0.363,47,0.71,0.03,0.0,0,1017.5,69.4,0.0,0.936,0.064,0.0,True,staffing,add capacity to the roles serving this step,"most of the elapsed time is spent queued, so the work is waiting for a person rather than taking a long time to do"
W_Nabellen incomplete dossiers,11407,11400,1647,6.93,0.126,51,0.69,0.04,0.0,0,157.6,100.7,0.0,0.61,0.39,0.0,True,rework,fix the upstream cause of the repeats,"the step is repeated far more often than it is reached, so the same work is being redone"
W_Beoordelen fraude,270,270,108,2.5,0.008,5,10.23,0.0,0.0,0,113.2,1.7,0.0,0.985,0.015,0.0,True,rework,fix the upstream cause of the repeats,"the step is repeated far more often than it is reached, so the same work is being redone"
A_ACCEPTED,5113,0,5113,1.0,0.391,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_PARTLYSUBMITTED,13087,0,13087,1.0,1.0,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_FINALIZED,5015,0,5015,1.0,0.383,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_DECLINED,7635,0,7635,1.0,0.583,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_CANCELLED,2807,0,2807,1.0,0.214,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_APPROVED,2246,0,2246,1.0,0.172,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_ACTIVATED,2246,0,2246,1.0,0.172,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_PREACCEPTED,7367,0,7367,1.0,0.563,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_REGISTERED,2246,0,2246,1.0,0.172,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_SELECTED,7030,0,5015,1.4,0.383,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_DECLINED,802,0,802,1.0,0.061,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_CREATED,7030,0,5015,1.4,0.383,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_CANCELLED,3655,0,2660,1.37,0.203,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_ACCEPTED,2243,0,2243,1.0,0.171,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_SUBMITTED,13087,0,13087,1.0,1.0,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_SENT,7030,0,5015,1.4,0.383,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_SENT_BACK,3454,0,3254,1.06,0.249,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
