rank,type,from_activity,to_activity,rl_pct,random_pct,ratio,log2_ratio,avg_reward,transition_type,in_real_log,insight,recommendation
1,PREFER,W_Call after offers,A_Complete,100.0,5.6,17.0,4.087,1.086,learned_prefer,True,RL routes 100% from 'W_Call after offers' to 'A_Complete' vs 6% random (log2 ratio: +4.1).,"Prioritise routing from 'W_Call after offers' to 'A_Complete' (17.0x more than random, avg reward +1.086). Consider making this the default transition rule at this decision point."
2,PREFER,W_Complete application,A_Concept,100.0,6.0,16.268,4.024,0.25,learned_prefer,True,RL routes 100% from 'W_Complete application' to 'A_Concept' vs 6% random (log2 ratio: +4.0).,"Prioritise routing from 'W_Complete application' to 'A_Concept' (16.3x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
3,PREFER,W_Handle leads,W_Complete application,100.0,15.6,6.358,2.669,0.25,learned_prefer,True,RL routes 100% from 'W_Handle leads' to 'W_Complete application' vs 16% random (log2 ratio: +2.7).,"Prioritise routing from 'W_Handle leads' to 'W_Complete application' (6.4x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
4,PREFER,W_Shortened completion ,W_Call after offers,100.0,15.5,6.297,2.655,0.25,learned_prefer,True,RL routes 100% from 'W_Shortened completion ' to 'W_Call after offers' vs 16% random (log2 ratio: +2.7).,"Prioritise routing from 'W_Shortened completion ' to 'W_Call after offers' (6.3x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
5,PREFER,A_Concept,W_Shortened completion ,100.0,17.6,5.623,2.491,0.25,learned_prefer,True,RL routes 100% from 'A_Concept' to 'W_Shortened completion ' vs 18% random (log2 ratio: +2.5).,"Prioritise routing from 'A_Concept' to 'W_Shortened completion ' (5.6x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
6,PREFER,A_Create Application,A_Submitted,97.6,19.5,4.974,2.314,0.25,learned_prefer,True,RL routes 98% from 'A_Create Application' to 'A_Submitted' vs 20% random (log2 ratio: +2.3).,"Prioritise routing from 'A_Create Application' to 'A_Submitted' (5.0x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
7,AVOID,A_Concept,A_Accepted,0.0,20.8,0.005,-7.717,0.0,learned_avoid,True,"RL avoids 'A_Concept' to 'A_Accepted' (0% vs 21% random, type: learned_avoid).",The agent avoids 'A_Concept' to 'A_Accepted'. This path may lead to loops or inefficiency. Consider adding a routing constraint to discourage it.
8,AVOID,A_Concept,W_Complete application,0.0,20.8,0.005,-7.717,0.0,learned_avoid,True,"RL avoids 'A_Concept' to 'W_Complete application' (0% vs 21% random, type: learned_avoid).",The agent avoids 'A_Concept' to 'W_Complete application'. This path may lead to loops or inefficiency. Consider adding a routing constraint to discourage it.
9,AVOID,A_Create Application,A_Concept,0.0,21.8,0.005,-7.775,0.0,learned_avoid,True,"RL avoids 'A_Create Application' to 'A_Concept' (0% vs 22% random, type: learned_avoid).",The agent avoids 'A_Create Application' to 'A_Concept'. This path may lead to loops or inefficiency. Consider adding a routing constraint to discourage it.
10,IMPOSSIBLE,A_Create Application,W_Handle leads,0.0,20.7,0.005,-7.698,0.0,impossible,False,"RL avoids 'A_Create Application' to 'W_Handle leads' (0% vs 21% random, type: impossible).","NOTE: 'A_Create Application' to 'W_Handle leads' never appears in the real event log — this is a twin artefact, not a learned avoidance. No business action needed."
11,IMPOSSIBLE,A_Create Application,W_Call incomplete files,0.0,21.4,0.005,-7.75,0.0,impossible,False,"RL avoids 'A_Create Application' to 'W_Call incomplete files' (0% vs 21% random, type: impossible).","NOTE: 'A_Create Application' to 'W_Call incomplete files' never appears in the real event log — this is a twin artefact, not a learned avoidance. No business action needed."
12,IMPOSSIBLE,A_Concept,W_Validate application,0.0,24.1,0.004,-7.923,0.0,impossible,False,"RL avoids 'A_Concept' to 'W_Validate application' (0% vs 24% random, type: impossible).","NOTE: 'A_Concept' to 'W_Validate application' never appears in the real event log — this is a twin artefact, not a learned avoidance. No business action needed."
